Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param lambda_l2,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
119,COMPLETE,0.6419955493114418,0.8055589889150456,5,0.7720545693351174,3.7146102634780878,6.717603598005864,0.017269590568501948,23,8,0.8917286787903536,520,39
120,COMPLETE,0.6413353570308822,0.6518752559121177,6,0.7372020469058795,1.399622029056665,6.051163749635247,0.011998362737478854,25,16,0.8636139273056209,414,110
121,COMPLETE,0.6427174201712861,0.7831238688498349,6,0.7014595117666619,3.0412828383267487,7.314018525123295,0.013486190628975013,15,26,0.9964497658391547,426,32
122,COMPLETE,0.6425718685836023,0.8206322085234354,6,0.6700783420644952,3.2620368858684823,6.9505308973196485,0.01599382237026114,17,19,0.9775840616887819,400,34
123,COMPLETE,0.6433761371099457,0.7941122592047599,6,0.6823941043891959,2.506965388566932,7.772858589977679,0.013207270536874066,11,12,0.985163575705766,484,22
124,COMPLETE,0.6433812811591852,0.8414068577513726,6,0.63980985567351,2.4998992768515196,8.598186473255229,0.018929945716939397,11,12,0.9330129507112893,487,22
125,COMPLETE,0.6424373445514759,0.8347119001499564,6,0.7912266521896172,2.4364141574711096,8.190139472330198,0.018766410970380093,9,12,0.4214149176926529,479,22
126,COMPLETE,0.6425932663995362,0.766031017703657,6,0.633986871934619,2.017216346980949,9.044042052515573,0.021058286268055244,11,90,0.9993071167098094,459,27
127,COMPLETE,0.6412520805893045,0.8497341214271253,7,0.687602403771814,2.594519274906183,8.544423108436375,0.02686942908030119,8,10,0.32960965463362807,502,24
128,COMPLETE,0.6419008059267678,0.6293344618411217,6,0.6084531748928363,2.2527120438623705,8.76758221144582,0.010192408548634981,10,14,0.9389477479512186,484,29
129,COMPLETE,0.6423769769902963,0.7941248181395656,6,0.5922486044100217,1.8324470606517056,8.001908462375587,0.02393703528107147,13,7,0.9645201352041246,445,22
130,COMPLETE,0.6434657936014829,0.8203911730449966,6,0.5526760244400415,1.1757124041184457,8.525091697954217,0.016676079162266766,11,59,0.9214713586070234,794,26
131,COMPLETE,0.6418200836485277,0.8447203477059273,6,0.5510580373287978,1.4771438161188462,8.434975031566701,0.01692169008260036,11,57,0.9031612305340685,818,25
132,COMPLETE,0.6423458983594741,0.8184596246488682,6,0.563304365993186,1.137476732939381,8.609609865661922,0.01498873342490608,11,67,0.9271596656668679,775,30
133,COMPLETE,0.6419694718396026,0.8602551339290012,6,0.5041445606777217,5.825954056321794,1.3745101696053093,0.01253766188354324,12,40,0.9528803012261133,878,28
134,COMPLETE,0.6432800219788077,0.8027065770012805,6,0.5240627677346255,1.2434782037976695,7.761135980257043,0.01981691966089942,9,78,0.9256426352201466,778,23
135,COMPLETE,0.6443420502391283,0.802387015821773,7,0.5226530202239209,1.2197725871050418,8.238389365473076,0.020003972159309304,9,76,0.9202351125409834,747,20
136,COMPLETE,0.6421652850750642,0.7772069669968391,7,0.5381316171902369,1.6100156103352035,8.364415171427153,0.021926909049254498,10,63,0.9775350026347226,718,20
137,COMPLETE,0.6405635853211584,0.8189466269532348,7,0.48931293878777266,1.1293407166571392,9.269699616031353,0.025183411886637645,7,72,0.9086654794911379,759,32
138,COMPLETE,0.6430642505467481,0.8293810940015908,7,0.4677024140935176,1.0218579391675036,8.972132502895656,0.01780869373382723,18,85,0.8791239989997459,812,23
139,COMPLETE,0.642561226831738,0.7898209046130931,3,0.5090875913501596,1.386095068741778,8.74379413118788,0.01915881299884253,20,100,0.94393150014765,730,27
140,COMPLETE,0.6393223262396609,0.7607696302662157,6,0.5731417274219203,1.7527500650592471,8.23012497135884,0.028712399250873898,22,70,0.845017140001623,683,30
141,COMPLETE,0.6422431066810941,0.8024565455388346,6,0.5190836867677739,1.1716659559828317,7.780429958490486,0.020623965880744072,9,77,0.9265524720504851,784,23
142,COMPLETE,0.6442390728034146,0.8109132917947183,6,0.5270571864129396,1.3088753219521885,8.15204700597248,0.016329183575322148,9,83,0.9644855775168927,852,25
143,COMPLETE,0.6436112594550125,0.6616795886010887,6,0.5489377507359909,1.503559639669242,8.077448198801628,0.015036577506171375,8,74,0.9758483922257929,836,20
144,COMPLETE,0.6435768121863898,0.8088380203250907,6,0.5507373049978657,1.480677435466615,8.159055360041958,0.017091382149571482,8,74,0.969664424443959,866,20
145,COMPLETE,0.6433207957135438,0.8087495050384655,6,0.5510765634232914,1.5526901363805927,8.095675288468,0.016487179184110294,8,75,0.9613680816202086,874,20
146,COMPLETE,0.6420051301031504,0.8465733487493606,6,0.5292028105029252,1.3770609813475083,8.435369943564885,0.022976766153760635,7,83,0.9994721408747129,834,26
147,COMPLETE,0.6431543857206451,0.6639749165490223,6,0.5402894256044054,1.2407057386435028,8.011173426574747,0.017756550236092128,8,73,0.9751166724398552,919,20
148,COMPLETE,0.643075292391331,0.8275498804223931,6,0.5660613634274118,1.5446166696865966,8.626787503332608,0.014903978890611678,10,81,0.9493200801051263,866,25
149,COMPLETE,0.6219889843614901,0.8405875357626955,7,0.5085197920507751,1.0218007766745976,8.15470439487775,0.09836677712592248,8,87,0.9325804601534228,909,22
150,COMPLETE,0.6420360372656646,0.7725804402160461,6,0.5465930628575477,1.937334506202442,7.610596559774918,0.016206126772822897,9,91,0.8860356442590437,857,27
151,COMPLETE,0.6431400181053386,0.7938356299090475,6,0.5595783842375903,1.4590292061940566,8.215857436191017,0.019077347517896075,8,74,0.9616212089442853,893,21
152,COMPLETE,0.6437698176283081,0.8105138994261892,6,0.5317485012697535,1.6908405857826911,8.419704036964456,0.01689250307641087,6,77,0.9647269120657179,796,20
153,COMPLETE,0.6434926926922979,0.8127929522156059,6,0.5176257125386992,1.7720901484672564,8.948381062934555,0.01154405345376261,7,79,0.9081436005835112,790,24
154,COMPLETE,0.6429685962366878,0.8170913910813421,6,0.5290225692308286,1.6924960566858707,9.014350024414497,0.011232833026081534,7,79,0.9789910788732304,797,24
155,COMPLETE,0.6427576187727391,0.8545301805700005,6,0.5007460206329737,1.2649671167935235,9.568110778668355,0.013856327312431735,6,65,0.9095086075309314,833,20
156,COMPLETE,0.6430452818651773,0.8346238323969334,6,0.534945022151472,1.771214582005196,8.445755057232022,0.01182138657607451,6,69,0.9171923738162248,951,25
157,COMPLETE,0.6428978191203111,0.6876331491786106,2,0.516587602600767,1.959867248770746,8.901635807600266,0.015105611265017284,6,76,0.9518331259108096,849,28
158,COMPLETE,0.643233107535292,0.8130264403913026,6,0.5817725116302177,2.3317862830254255,8.330491975719227,0.017477895641883207,9,79,0.9799046422412447,791,23
159,COMPLETE,0.6429941664481161,0.7866634988099129,6,0.48914892944212995,1.526645196532204,8.69959304789809,0.010138798985698975,8,53,0.9011248718195846,824,29
160,COMPLETE,0.6429962990851965,0.8264129103790079,7,0.5546339737645852,1.3431694258543865,8.550080791930775,0.013673727995561552,10,73,0.9985565810103432,768,25
161,COMPLETE,0.6424412383109697,0.8003983920432649,6,0.5416412968093864,2.168528957714192,7.917481295298029,0.02176353044616341,7,80,0.9413861899257208,760,20
162,COMPLETE,0.6428429278282176,0.8081793032390375,6,0.5199819920801497,9.85884437677539,8.295269863328349,0.018965872854410003,11,83,0.49650904498308884,805,33
163,COMPLETE,0.6426014468667297,0.839602404780819,6,0.5316263346076483,2.0353065045457055,8.504665558424943,0.017047276432592292,9,76,0.961584787738708,842,30
164,COMPLETE,0.6422910213564064,0.7861506178801844,6,0.49616770223344153,6.2331501258412345,9.064435164234522,0.014600440316169484,6,71,0.9302185659235965,747,23
165,COMPLETE,0.6405085618555775,0.8242914368217148,6,0.5106553541325778,1.6683118477338534,7.944820426112633,0.01590486943229622,7,81,0.8874518421980889,886,75
166,COMPLETE,0.639819241396199,0.6738714366115464,6,0.5483006312727206,5.316371938504966,8.672427134907057,0.020525034080277466,2,84,0.8579272877203136,737,27
167,COMPLETE,0.6426988980217674,0.8653609300338047,6,0.5701059655489686,2.418957726190782,8.15813329766544,0.01220918221142706,10,59,0.9742946191047276,818,25
168,COMPLETE,0.6373917431265286,0.8061072257867808,6,0.4555409935526251,2.790722512936641,7.831970927614542,0.018354114851298103,8,86,0.9376888338941212,702,129
