Number,State,Value,Param bagging_fraction,Param bagging_freq,Param colsample_bytree,Param feature_fraction,Param learning_rate,Param max_bin,Param max_depth,Param min_child_samples,Param min_child_weight,Param min_split_gain,Param num_leaves,Param reg_alpha,Param reg_lambda,Param scale_pos_weight,Param subsample,UserAttribute best_iteration
64,COMPLETE,0.6443038199509605,0.733603667639967,5,0.7947612210853402,0.5352435172058695,0.019041280136498404,389,17,90,0.017664379353764175,0.09609769040057205,18,6.739109541274194,0.005869592560882398,3.226990776798358,0.7808613635271615,523
65,COMPLETE,0.6445372740522811,0.6656235731449927,6,0.7671315863277188,0.4702095624795549,0.01826799579464953,279,18,82,0.02585808265342589,0.10437811517336104,16,7.396582178307807,0.0013413141951286501,4.35468504733233,0.8847619634044359,654
66,COMPLETE,0.6439719644743958,0.7692851499795882,7,0.5340903535574558,0.48145192332197945,0.017723121222061673,460,18,78,0.0050289219083832345,0.14264580154055,15,7.024065278509428,0.0020073175763428226,5.075244212744053,0.7607931776021779,567
67,COMPLETE,0.6437687709571781,0.7260794959549355,6,0.8264498342018963,0.5158675104558075,0.019370984243325427,335,17,110,0.050377372638853814,0.09776113911671212,17,6.521449409659915,0.004647843947198969,3.9404915357192394,0.8626425852050419,342
68,COMPLETE,0.6446022641132635,0.7394540296992014,7,0.9206899287575188,0.4578460709016613,0.01866870609246002,64,19,87,0.011642222374720934,0.09986599021534051,18,7.2877914065536125,0.3398283082984316,7.912534872924914,0.819866238744082,741
69,COMPLETE,0.6455979269938814,0.7836663794115397,7,0.8931646917911454,0.5001248406733316,0.01977505362574625,181,16,105,0.007004888934695175,0.1282710785393627,14,9.199413909038393,0.701177051458805,6.122676801596516,0.9797646069050454,859
70,COMPLETE,0.6441717929260692,0.7838799660959139,6,0.9032118433205254,0.5006553168365492,0.019619321465711423,143,16,104,0.0027752435356073668,0.12270086995087234,14,9.26914699133433,0.003419316676732456,7.407000702826016,0.9776266517203069,706
71,COMPLETE,0.6442405552898273,0.7771464956220656,7,0.8836619160633787,0.49310248368161397,0.01976680736700839,191,16,100,0.007078550115145955,0.12689795411526525,13,8.991653859366568,1.2058503666683271,6.160399020668349,0.9576751484830167,567
72,COMPLETE,0.6445535278189756,0.7892017270272921,7,0.8688566846492395,0.49693165709727327,0.018811832090485908,427,16,112,0.0016092749618167013,0.13798373840070793,13,8.63816715265768,0.5284905036766285,6.5759281390281235,0.9976438019325619,609
73,COMPLETE,0.6445911043842187,0.7616448268637732,7,0.998596678517238,0.5044931275127922,0.019197493569489906,122,17,96,0.005954401757086125,0.1340367094540055,16,9.033168398240353,0.770659917541607,5.809489100703971,0.9791399593574773,617
74,COMPLETE,0.6446755060865677,0.8056141252149452,7,0.8460887543950607,0.47261559497679184,0.018179433069917483,155,16,106,0.01596548502781264,0.10132148612378128,14,7.14520998833477,0.1981806241333826,5.3592464816028444,0.9277767362519727,843
75,COMPLETE,0.6448569552789791,0.7928774697061309,7,0.8956129869754184,0.4633116475317664,0.019023609910327154,257,18,102,0.0036406783675742137,0.0976518009432567,15,7.5230191890142,0.05870830229791858,2.8346163835004288,0.8023056177304605,742
76,COMPLETE,0.6447256998614737,0.7688953133919861,7,0.9140144489106583,0.4757761462341289,0.01857570635879416,184,17,109,0.010208458132814855,0.1308316969221943,19,6.849626565944469,0.002562891485592594,5.139086267044176,0.9473980024284833,567
77,COMPLETE,0.6446821612002713,0.7823197530281361,7,0.6205604319767825,0.5236315392959414,0.018491642315835076,158,19,112,0.02112093903944177,0.10331604196349625,13,6.717149339750315,1.0522956615958827,4.486740758794881,0.745714746592935,982
78,COMPLETE,0.6435705571654048,0.7135498676844272,6,0.8557862029718781,0.48964610608815334,0.019470880141385802,309,16,85,0.02902876335681368,0.1183061452147561,14,7.319968937434972,0.12199210741285356,3.8345517536774105,0.8365461355225946,463
79,COMPLETE,0.643874563330948,0.755066968866447,8,0.5978185356672482,0.5443420639686422,0.015873964243725888,495,17,97,0.007621283219263016,0.12304475703994526,17,9.264192278646195,2.248919863464415,3.3690642171151226,0.8875375893954952,833
80,COMPLETE,0.6438414163636608,0.7064503796987152,5,0.9550372899696912,0.45985136828459017,0.017963876018222583,289,16,104,0.014142255554446904,0.09932732475531032,17,7.214608621017269,0.6211031847071757,8.723699033763976,0.9199111079851338,569
81,COMPLETE,0.6443697459431242,0.7271708636226288,7,0.6467758108207917,0.45616812997049655,0.01706951707189028,231,22,111,0.005601111058609723,0.10134882979369952,19,7.6231645124400575,0.026405238511579072,2.2108491714932983,0.6075546851532682,573
82,COMPLETE,0.6449957624465487,0.7361909324579224,7,0.6906573678300524,0.4658982018485221,0.01669494868060609,205,21,114,0.004171247089526249,0.09835860406236466,19,8.363378493230663,0.012264962748336349,2.5142990923403206,0.7207994261344592,723
83,COMPLETE,0.6448087048115636,0.7388858585983897,7,0.6985998768193251,0.466156760630958,0.01663136899180867,354,21,113,0.004263983316024648,0.09713943320636767,19,8.303758540235062,0.011029453576322953,2.0267349241951544,0.7306430514271448,597
84,COMPLETE,0.6445438291428051,0.7490629248549845,7,0.7290919003548418,0.4991145757446038,0.016220895261365463,210,20,114,0.0024912052927059335,0.09868642344120367,19,8.208024996633162,0.33998350846805686,1.3572126517886394,0.7016846624737669,725
85,COMPLETE,0.6439257394763683,0.7228855531702381,7,0.6763066979587614,0.4692509364778115,0.01593341506060744,199,21,114,0.0018953696100566732,0.1004802480644571,18,8.544668388507414,0.01392830143547754,2.6224402855421003,0.7716418297886058,573
