Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
71,COMPLETE,0.6447251497339855,0.7396727871492691,7,0.500818881296372,5.8200524628237025,0.01657931341513099,8,93,0.04940645912189697,908,20
72,COMPLETE,0.6447182445623327,0.7246370404258882,7,0.4787783086727241,5.388766704005812,0.01768819236405425,8,99,0.0906827223504443,929,16
73,COMPLETE,0.6442806610126135,0.7476162850921358,7,0.5111378590414108,6.653578238718362,0.018830707152476683,10,93,0.13705277506669536,884,17
74,COMPLETE,0.6449015263222857,0.7398189180680246,7,0.5212704993093108,6.300226808216211,0.01586716202231114,9,88,0.022391105625003488,864,19
75,COMPLETE,0.6446173961914431,0.7403497286138984,7,0.525506196204454,6.311599589486652,0.01442017601812758,9,88,0.00020982553422119188,872,21
76,COMPLETE,0.6436586240028368,0.728130277543718,7,0.4660964287796603,5.867420960206931,0.015222567707255484,10,83,0.026035607320436915,826,19
77,COMPLETE,0.6439669490263873,0.7167768897342525,7,0.5363352708110074,1.2663542070146865,0.01589888887809354,8,78,0.05885249364302013,953,23
78,COMPLETE,0.6446426520443066,0.7446672244687397,7,0.4312892265444711,7.282432931543056,0.018314039096899964,8,90,0.19906030744843584,915,15
79,COMPLETE,0.6442784497858919,0.7500424927016043,7,0.5075518637209891,4.596151040313787,0.013663709111713825,9,86,0.09505341642543501,761,18
80,COMPLETE,0.6434412307663642,0.7637714080724689,7,0.48051536055405236,5.417630027145014,0.01732844397488295,10,72,0.14245270617432715,892,20
81,COMPLETE,0.645073955567246,0.7366489901712001,7,0.4941524321592478,6.479460186856144,0.016820910990258328,9,100,0.11736854981976427,863,17
82,COMPLETE,0.6446412874423556,0.7230024497282886,7,0.5468976177146637,6.306213661284907,0.016878925639888284,18,100,0.06738477102301228,862,16
83,COMPLETE,0.6449574714300219,0.7397359252041841,7,0.49668567106811123,6.468560816755208,0.01621845630870408,8,94,0.02270295677224801,828,19
84,COMPLETE,0.6439895971320667,0.7550020847000625,7,0.4969451498403401,6.551374675471505,0.016250024116418706,9,96,0.01934709544477277,831,18
85,COMPLETE,0.6449352305615738,0.7304261829589331,7,0.5233335424540139,7.1185404392434695,0.01541836159443492,11,91,0.08591917606313543,799,19
